ID_AGENCY;Agency Name;Agency Type
AGG_000510;Bridgeport;Municipal Police
AGG_000511;Bristol;Municipal Police
AGG_000512;Clinton;Municipal Police
AGG_000513;Danbury;Municipal Police
AGG_000514;Derby;Municipal Police
AGG_000515;East Hartford;Municipal Police
AGG_000516;East Haven;Municipal Police
AGG_000517;Enfield;Municipal Police
AGG_000518;Greenwich;Municipal Police
AGG_000519;Hamden;Municipal Police
AGG_000520;Hartford;Municipal Police
AGG_000521;Meriden;Municipal Police
AGG_000522;Middletown;Municipal Police
AGG_000523;Milford;Municipal Police
AGG_000524;Naugatuck;Municipal Police
AGG_000525;New Britain;Municipal Police
AGG_000526;New Milford;Municipal Police
AGG_000527;Norwich;Municipal Police
AGG_000528;Stamford;Municipal Police
AGG_000529;Waterbury;Municipal Police
AGG_000530;West Haven;Municipal Police
AGG_000531;Groton Town;Municipal Police
AGG_000532;Connecticut State Police;State Police
AGG_000533;Washington;Municipal Police
AGG_000534;Dover;Municipal Police
AGG_000535;New Castle County;County Police
AGG_000536;Wilmington;Municipal Police
AGG_000537;Seaford;Municipal Police
AGG_000538;State Police: Kent County;State Police
AGG_000539;State Police: New Castle County;State Police
AGG_000540;Alachua County;Sheriff
AGG_000541;Gainesville;Municipal Police
AGG_000542;Highway Patrol: Alachua County;State Police
AGG_000543;Baker County;Sheriff
AGG_000544;Bay County;Sheriff
AGG_000545;Panama City Beach;Municipal Police
AGG_000546;Brevard County;Sheriff
AGG_000547;Cocoa;Municipal Police
AGG_000548;Melbourne;Municipal Police
AGG_000549;Titusville;Municipal Police
AGG_000550;Palm Bay;Municipal Police
AGG_000551;West Melbourne;Municipal Police
AGG_000552;Broward County;Sheriff
AGG_000553;Dania;Municipal Police
AGG_000554;Deerfield Beach;Municipal Police
AGG_000555;Fort Lauderdale;Municipal Police
AGG_000556;Hallandale;Municipal Police
AGG_000557;Hollywood;Municipal Police
AGG_000558;Plantation;Municipal Police
AGG_000559;Pompano Beach;Municipal Police
AGG_000560;Pembroke Pines;Municipal Police
AGG_000561;Wilton Manors;Municipal Police
AGG_000562;Coconut Creek;Municipal Police
AGG_000563;Davie;Municipal Police
AGG_000564;Lauderdale Lakes;Municipal Police
AGG_000565;Lauderhill;Municipal Police
AGG_000566;Lighthouse Point;Municipal Police
AGG_000567;Miramar;Municipal Police
AGG_000568;North Lauderdale;Municipal Police
AGG_000569;Oakland Park;Municipal Police
AGG_000570;Sunrise;Municipal Police
AGG_000571;Coral Springs;Municipal Police
AGG_000572;Tamarac;Municipal Police
AGG_000573;Seminole Tribal;Tribal Police
AGG_000574;Department of Agriculture;Municipal Police
AGG_000575;Charlotte County;Sheriff
AGG_000576;Citrus County;Sheriff
AGG_000577;Clay County;Sheriff
AGG_000578;Collier County;Sheriff
AGG_000579;Naples;Municipal Police
AGG_000580;Columbia County;Sheriff
AGG_000581;Lake City;Municipal Police
AGG_000582;Miami-Dade;County Police
AGG_000583;Hialeah;Municipal Police
AGG_000584;Homestead;Municipal Police
AGG_000585;Miami;Municipal Police
AGG_000586;Miami Beach;Municipal Police
AGG_000587;Miami Shores;Municipal Police
AGG_000588;Miami Springs;Municipal Police
AGG_000589;North Miami Beach;Municipal Police
AGG_000590;Opa Locka;Municipal Police
AGG_000591;Hialeah Gardens;Municipal Police
AGG_000592;North Miami;Municipal Police
AGG_000593;South Miami;Municipal Police
AGG_000594;Village of Pinecrest;Municipal Police
AGG_000595;Miami Gardens;Municipal Police
AGG_000596;Palmetto Bay;Municipal Police
AGG_000597;Doral;Municipal Police
AGG_000598;Desoto County;Sheriff
AGG_000599;Dixie County;Sheriff
AGG_000600;Atlantic Beach;Municipal Police
AGG_000601;Jacksonville Beach;Municipal Police
AGG_000602;Department of Law Enforcement: Duval County, Jacks;State Police
AGG_000603;Escambia County;Sheriff
AGG_000604;Pensacola;Municipal Police
AGG_000605;Flagler County;Sheriff
AGG_000606;Franklin County;Sheriff
AGG_000607;Gadsden County;Sheriff
AGG_000608;Trenton;Municipal Police
AGG_000609;Glades County;Sheriff
AGG_000610;Hendry County;Sheriff
AGG_000611;Clewiston;Municipal Police
AGG_000612;Hernando County;Sheriff
AGG_000613;Highlands County;Sheriff
AGG_000614;Hillsborough County;Sheriff
AGG_000615;Plant City;Municipal Police
AGG_000616;Tampa;Municipal Police
AGG_000617;Temple Terrace;Municipal Police
AGG_000618;University of S Florida: Tampa;Special Police
AGG_000619;Indian River County;Sheriff
AGG_000620;Fellsmere;Municipal Police
AGG_000621;Jackson County;Sheriff
AGG_000622;Lafayette County;Sheriff
AGG_000623;Lake County;Sheriff
AGG_000624;Eustis;Municipal Police
AGG_000625;Leesburg;Municipal Police
AGG_000626;Lee County;Sheriff
AGG_000627;Fort Myers;Municipal Police
AGG_000628;Cape Coral;Municipal Police
AGG_000629;Sanibel;Municipal Police
AGG_000630;Tallahassee;Municipal Police
AGG_000631;Madison County;Sheriff
AGG_000632;Madison;Municipal Police
AGG_000633;Manatee County;Sheriff
AGG_000634;Bradenton;Municipal Police
AGG_000635;Bradenton Beach;Municipal Police
AGG_000636;Palmetto;Municipal Police
AGG_000637;Marion County;Sheriff
AGG_000638;Ocala;Municipal Police
AGG_000639;Belleview;Municipal Police
AGG_000640;Martin County;Sheriff
AGG_000641;Stuart;Municipal Police
AGG_000642;Jupiter Island;Municipal Police
AGG_000643;Key West;Municipal Police
AGG_000644;Nassau County;Sheriff
AGG_000645;Fernandina Beach;Municipal Police
AGG_000646;Okaloosa County;Sheriff
AGG_000647;Crestview;Municipal Police
AGG_000648;Fort Walton Beach;Municipal Police
AGG_000649;Okeechobee County;Sheriff
AGG_000650;Okeechobee;Municipal Police
AGG_000651;Orange County;Sheriff
AGG_000652;Apopka;Municipal Police
AGG_000653;Maitland;Municipal Police
AGG_000654;Ocoee;Municipal Police
AGG_000655;Orlando;Municipal Police
AGG_000656;Winter Garden;Municipal Police
AGG_000657;Winter Park;Municipal Police
AGG_000658;Osceola County;Sheriff
AGG_000659;Kissimmee;Municipal Police
AGG_000660;Palm Beach County;Sheriff
AGG_000661;Belle Glade;Municipal Police
AGG_000662;Boca Raton;Municipal Police
AGG_000663;Boynton Beach;Municipal Police
AGG_000664;Delray Beach;Municipal Police
AGG_000665;Lake Worth;Municipal Police
AGG_000666;Riviera Beach;Municipal Police
AGG_000667;West Palm Beach;Municipal Police
AGG_000668;Greenacres City;Municipal Police
AGG_000669;Jupiter;Municipal Police
AGG_000670;Mangonia Park;Municipal Police
AGG_000671;Palm Beach Gardens;Municipal Police
AGG_000672;Pasco County;Sheriff
AGG_000673;Zephyrhills;Municipal Police
AGG_000674;Port Richey;Municipal Police
AGG_000675;Pinellas County;Sheriff
AGG_000676;Clearwater;Municipal Police
AGG_000677;Dunedin;Municipal Police
AGG_000678;Largo;Municipal Police
AGG_000679;Madeira Beach;Municipal Police
AGG_000680;Pinellas Park;Municipal Police
